RAL,RGB,HEX,English
RAL 1000,190-189-127,#BEBD7F,Light Green
RAL 1001,194-176-120,#C2B078,Beige
RAL 1002,198-166-100,#C6A664,Beige
RAL 1003,229-190-001,#E5BE01,Yellow
RAL 1004,205-164-052,#CDA434,Golden yellow
RAL 1005,169-131-007,#A98307,Dark yellow
RAL 1006,228-160-016,#E4A010,Yellow
RAL 1007,220-156-000,#DC9D00,Yellow
RAL 1011,138-102-066,#8A6642,Brown
RAL 1012,199-180-070,#C7B446,Greenish yellow
RAL 1013,234-230-202,#EAE6CA,White
RAL 1014,225-204-079,#E1CC4F,Greenish Yellow
RAL 1015,230-214-144,#E6D690,Greenish Yellow
RAL 1016,237-255-033,#EDFF21,Bright Yellow
RAL 1017,245-208-051,#F5D033,Yellow
RAL 1018,248-243-053,#F8F32B,Bright Yellow
RAL 1019,158-151-100,#9E9764,Dull Yellow
RAL 1020,153-153-080,#999950,Khaki
RAL 1023,250-210-001,#FAD201,Yellow
RAL 1024,174-160-075,#AEA04B,Khaki
RAL 1026,255-255-000,#FFFF00,Bright yellow
RAL 1027,157-145-001,#9D9101,Dark Golden Yellow
RAL 1028,244-169-000,#F4A900,Orange
RAL 1032,214-174-001,#D6AE01,Dark Yellow
RAL 1033,243-165-005,#F3A505,Orange
RAL 1034,239-169-074,#EFA94A,Peach
RAL 1035,106-093-077,#6A5D4D,Gray
RAL 1036,112-083-053,#705335,Brown
RAL 1037,243-159-024,#F39F18,Bright orange
RAL 2000,237-118-014,#ED760E,Orange
RAL 2001,201-060-032,#C93C20,Red
RAL 2002,203-040-033,#CB2821,Red
RAL 2003,255-117-020,#FF7514,Orange
RAL 2004,244-070-017,#F44611,Orange
RAL 2005,255-035-001,#FF2301,Red
RAL 2007,255-164-032,#FFA420,Yellow
RAL 2008,247-094-037,#F75E25,Peach
RAL 2009,245-064-033,#F54021,Pink
RAL 2010,216-075-032,#D84B20,Light brown
RAL 2011,236-124-038,#EC7C26,Dark Yellow
RAL 2013,195-088-049,#C35831,Brown
RAL 3000,175-043-030,#AF2B1E,Red
RAL 3001,165-032-025,#A52019,Red
RAL 3002,162-035-029,#A2231D,Red
RAL 3003,155-017-030,#9B111E,Dark pink
RAL 3004,117-021-030,#75151E,Purple red
RAL 3005,094-033-041,#5E2129,Wine red
RAL 3007,065-034-039,#412227,Dark wine red
RAL 3009,100-036-036,#642424,Purple red
RAL 3011,120-031-025,#781F19,Red
RAL 3012,193-135-107,#C1876B,Beige
RAL 3013,161-035-018,#A12312,Red
RAL 3014,211-110-112,#D36E70,Pink
RAL 3015,234-137-154,#EA899A,Light pink
RAL 3016,179-040-033,#B32821,Coral
RAL 3017,230-050-068,#E63244,Rose
RAL 3018,213-048-050,#D53032,Red
RAL 3020,204-006-005,#CC0605,Red
RAL 3024,248-000-000,#F80000,Bright Red
RAL 3026,254-000-000,#FE0000,Bright Red
RAL 3027,197-029-052,#C51D34,Purple red
RAL 3028,203-050-052,#CB3234,Light Plum
RAL 3031,179-036-040,#B32428,Plum
RAL 3032,114-020-034,#721422,Wine red
RAL 3033,180-076-067,#B44C43,Light brown
RAL 4001,109-063-091,#6D3F5B,Indigo Blue
RAL 4002,146-043-062,#922B3E,Light plum
RAL 4003,222-076-138,#DE4C8A,Pink
RAL 4004,110-028-052,#641C34,Wine
RAL 4005,108-070-117,#6C4675,Indigo
RAL 4006,160-052-114,#A03472,Purple
RAL 4007,074-025-044,#4A192C,Dark purple
RAL 4008,144-070-132,#924E7D,Light Violet
RAL 4009,164-125-144,#A18594,Light pink
RAL 4010,215-045-109,#CF3476,Magenta
RAL 4011,134-115-161,#8673A1,Light blue
RAL 4012,108-104-129,#6C6874,Turquoise
RAL 5000,042-046-075,#354D73,Dark blue
RAL 5001,031-052-056,#1F3438,Green blue
RAL 5002,032-033-079,#20214F,Dark blue
RAL 5003,029-030-051,#1D1E33,Dark blue
RAL 5004,024-023-028,#18171C,Black
RAL 5005,030-045-110,#1E2460,Blue
RAL 5007,062-095-138,#3E5F8A,Dark Blue
RAL 5008,038-037-045,#26252D,Gray Blue
RAL 5009,002-086-105,#025669,Turquoise
RAL 5010,014-041-075,#0E294B,Dark blue
RAL 5011,035-026-036,#231A24,Dark Blue
RAL 5012,059-131-189,#3B83BD,Light blue
RAL 5013,037-041-074,#1E213D,Dark Blue
RAL 5014,096-111-140,#606E8C,Light Gray
RAL 5015,034-113-179,#2271B3,Blue
RAL 5017,006-057-113,#063971,Dark Blue
RAL 5018,063-136-143,#3F888F,Turquoise
RAL 5019,027-085-131,#1B5583,Blue
RAL 5020,029-051-074,#1D334A,Dark Blue
RAL 5021,037-109-123,#256D7B,Turquoise
RAL 5022,037-040-080,#252850,Purple
RAL 5023,073-103-141,#49678D,Blue
RAL 5024,093-155-155,#5D9B9B,Light Blue
RAL 5025,042-100-120,#2A6478,Dark Turquiose
RAL 5026,016-044-084,#102C54,Dark Blue
RAL 6000,049-102-080,#316650,Patina
RAL 6001,040-114-051,#287233,Green
RAL 6002,045-087-044,#2D572C,Dark Green
RAL 6003,066-070-050,#424632,Khaki
RAL 6004,031-058-061,#1F3A3D,Blue green
RAL 6005,047-069-056,#2F4538,Grayish green
RAL 6006,062-059-050,#3E3B32,Gray
RAL 6007,052-059-041,#343B29,Dark Khaki
RAL 6008,057-053-042,#39352A,Gray
RAL 6010,053-104-045,#35682D,Green
RAL 6012,052-062-064,#343E40,Dark Blue
RAL 6013,108-113-086,#6C7156,Light green
RAL 6014,071-064-046,#47402E,Brownish green
RAL 6015,059-060-054,#3B3C36,Dark gray
RAL 6016,030-089-069,#1E5945,Turquoise green
RAL 6018,087-166-057,#57A639,Yellow green
RAL 6019,189-236-182,#BDECB6,Light green
RAL 6020,046-058-035,#2E3A23,Dark green
RAL 6021,137-172-118,#89AC76,Light Green
RAL 6022,037-034-027,#25221B,Black
RAL 6024,048-132-070,#308446,Green
RAL 6025,061-100-045,#3D642D,Dark green
RAL 6026,001-093-082,#015D52,Turquoise
RAL 6027,132-195-190,#84C3BE,Light blue
RAL 6028,044-085-069,#2C5545,Dark green
RAL 6029,032-096-061,#20603D,Dark green
RAL 6032,049-127-067,#317F43,Green
RAL 6033,073-126-118,#497E76,Dark Turquoise
RAL 6034,127-181-181,#7FB5B5,Light blue
RAL 6035,028-084-045,#1C542D,Dark green
RAL 6036,022-053-055,#193737,Dark green
RAL 6037,000-143-057,#008F39,Green
RAL 6038,000-187-045,#00BB2D,Bright Green
RAL 7000,120-133-139,#78858B,Gray
RAL 7001,138-149-151,#8A9597,SilverÂ gray
RAL 7002,126-123-082,#7E7B52,Khaki
RAL 7003,108-112-089,#6C7059,Dark Khaki
RAL 7004,150-153-146,#969992,Gray
RAL 7005,100-107-099,#646B63,Dark Gray
RAL 7006,109-101-082,#6D6552,Beige grey
RAL 7008,106-095-049,#6A5F31,Khaki
RAL 7009,077-086-069,#4D5645,Green grey
RAL 7010,076-081-074,#4C514A,Dark Gray
RAL 7011,067-075-077,#434B4D,Blueish Gray
RAL 7012,078-087-084,#4E5754,Cement
RAL 7013,070-069-049,#464531,Brown grey
RAL 7015,067-071-080,#434750,Dark indigo
RAL 7016,041-049-051,#293133,Dark gray
RAL 7021,035-040-043,#23282B,Dark blue
RAL 7022,051-047-044,#332F2C,Brown
RAL 7023,104-108-094,#686C5E,Light khaki
RAL 7024,071-074-081,#474A51,Dark gray
RAL 7026,047-053-059,#2F353B,Blueish dark gray
RAL 7030,139-140-122,#8B8C7A,Light green
RAL 7031,071-075-078,#474B4E,Blue grey
RAL 7032,184-183-153,#B8B799,Cream
RAL 7033,125-132-113,#7D8471,Green gray
RAL 7034,143-139-102,#8F8B66,Khaki
RAL 7035,203-208-204,#CBD0CC,White
RAL 7036,127-118-121,#7F7679,Dark Silver
RAL 7037,125-127-120,#7D7F7D,Gray
RAL 7038,195-195-195,#B5B8B1,White
RAL 7039,108-105-096,#6C6960,Dark gray
RAL 7040,157-161-170,#9DA1AA,Blueish gray
RAL 7042,141-148-141,#8D948D,Turquoise Gray
RAL 7043,078-084-082,#4E5452,Dark Turquoise Gray
RAL 7044,202-196-176,#CAC4B0,Cream
RAL 7045,144-144-144,#909090,Gray
RAL 7046,130-137-143,#82898F,Blueish Gray
RAL 7047,208-208-208,#D0D0D0,White
RAL 7048,137-129-118,#898176,Gray
RAL 8000,130-108-052,#826C34,Green brown
RAL 8001,149-095-032,#955F20,Dark Yellow
RAL 8002,108-059-042,#6C3B2A,Brown
RAL 8003,115-066-034,#734222,Brown
RAL 8004,142-064-042,#8E402A,Copper
RAL 8007,089-053-031,#59351F,Brown
RAL 8008,111-079-040,#6F4F28,Khaki
RAL 8011,091-058-041,#5B3A29,Light brown
RAL 8012,089-035-033,#592321,Wine brown
RAL 8014,056-044-030,#382C1E,Dark green
RAL 8015,099-058-052,#633A34,Light brown
RAL 8016,076-047-039,#4C2F27,Brown
RAL 8017,069-050-046,#45322E,Dark brown
RAL 8019,064-058-058,#403A3A,Gray
RAL 8022,033-033-033,#212121,Black
RAL 8023,166-094-046,#A65E2E,Orange
RAL 8024,121-085-061,#79553D,Gray brown
RAL 8025,117-092-072,#755C48,Brown gray
RAL 8028,078-059-049,#4E3B31,Dark brown
RAL 8029,118-060-040,#763C28,Brown
RAL 9001,250-244-227,#FDF4E3,White
RAL 9002,231-235-218,#E7EBDA,Grey white
RAL 9003,244-244-244,#F4F4F4,White
RAL 9004,040-040-040,#282828,Dark Gray
RAL 9005,010-010-013,#0A0A0A,Black
RAL 9006,165-165-165,#A5A5A5,Silver
RAL 9007,143-143-143,#8F8F8F,Gray
RAL 9010,255-255-255,#FFFFFF,White
RAL 9011,028-028-028,#1C1C1C,Black
RAL 9016,246-246-246,#F6F6F6,White
RAL 9017,030-030-030,#1E1E1E,Black
RAL 9018,207-211-205,#CFD3CD,White
RAL 9022,156-156-156,#9C9C9C,Light Gray
RAL 9023,130-130-130,#828282,Gray