NAME,HEX,Red,Green,Blue
dark red,#8B0000,139,0,0
brown,#A52A2A,165,42,42
red,#FF0000,255,0,0
dark orange,#FF8C00,255,140,0
orange,#FFA500,255,165,0
gold,#FFD700,255,215,0
dark golden,#B8860B,184,134,11
dark khaki,#BDB76B,189,183,107
khaki,#F0E68C,240,230,140
olive,#808000,128,128,0
yellow,#FFFF00,255,255,0
lawn green,#7CFC00,124,252,0
green yellow,#ADFF2F,173,255,47
dark green,#006400,0,100,0
green,#008000,0,128,0
light green,#90EE90,144,238,144
dark cyan,#008B8B,0,139,139
aqua,#00FFFF,0,255,255
turquoise,#40E0D0,64,224,208
light blue,#ADD8E6,173,216,230
dark blue,#00008B,0,0,139
medium blue,#0000CD,0,0,205
blue,#0000FF,0,0,255
blue violet,#8A2BE2,138,43,226
indigo,#4B0082,75,0,130
medium purple,#9370DB,147,112,219
dark magenta,#8B008B,139,0,139
dark violet,#9400D3,148,0,211
purple,#800080,128,0,128
violet,#EE82EE,238,130,238
deep pink,#FF1493,255,20,147
light pink,#FFB6C1,255,182,193
pink,#FFC0CB,255,192,203
beige,#F5F5DC,245,245,220
chocolate,#D2691E,210,105,30
peachy,#FFDAB9,255,218,185
light purple,#E6E6FA,230,230,250
black,#000000,0,0,0
gray,#808080,128,128,128
dark gray,#A9A9A9,169,169,169
silver,#C0C0C0,192,192,192
light gray,#D3D3D3,211,211,211
white,#FFFFFF,255,255,255